Product Name,Product Description,Category,Carbon Footprint (g CO2e),Sustainability Score (0-5)
EcoFry Bamboo Frying Pan,"A non-toxic, durable frying pan made from sustainable bamboo and eco-friendly coatings.",Kitchen & Home Decor,35,4
SolarGlow LED Lights,"Solar-powered LED lights for indoor or outdoor use, reducing energy consumption.",Kitchen & Home Decor,15,5
ReLeaf Compost Bin,"A compact, odorless compost bin for small kitchens, made from recycled plastic.",Kitchen & Home Decor,50,4
EarthWoven Placemat Set,Handwoven placemats made from organic cotton and dyed with eco-friendly colors.,Kitchen & Home Decor,25,5
Bamboo Drying Rack,"An extendable, space-saving drying rack made from sustainably sourced bamboo.",Kitchen & Home Decor,40,4
EcoSprout Herb Garden,Indoor garden kit with biodegradable pots to grow fresh herbs.,Kitchen & Home Decor,30,5
GreenLeaf Bamboo Utensils,"Set of kitchen utensils made from bamboo, avoiding plastic waste.",Kitchen & Home Decor,12,4
PureStone Soap Dispenser,"A stylish, refillable soap dispenser made from recycled stone and glass materials.",Kitchen & Home Decor,20,5
EcoChime Wind Chimes,"Handcrafted wind chimes from recycled metals, adding beauty to any home or garden.",Kitchen & Home Decor,28,3
ZeroWaste Spice Jars,Reusable glass spice jars with bamboo lids to reduce single-use plastics.,Kitchen & Home Decor,18,4
EcoPure Bamboo Toothbrush,A biodegradable bamboo toothbrush with plant-based bristles.,Personal Care,5,5
ZeroWaste Shampoo Bar,"A sulfate-free, plastic-free shampoo bar made from natural ingredients.",Personal Care,10,5
ReLeaf Natural Deodorant,"All-natural deodorant in a recyclable cardboard tube, free from harmful chemicals.",Personal Care,8,5
EarthGlow Lip Balm,Lip balm made from organic beeswax and plant oils in a recyclable tin.,Personal Care,3,4
EcoLuxe Facial Cleanser,"Gentle facial cleanser with all-natural ingredients, packaged in glass.",Personal Care,12,5
GreenSmile Toothpaste Tabs,"Eco-friendly toothpaste in solid form, eliminating plastic packaging.",Personal Care,7,5
Bamboo Cotton Swabs,100% biodegradable cotton swabs with bamboo sticks.,Personal Care,6,5
PureGreen Shaving Cream,"Smooth, organic shaving cream in a recyclable jar to reduce plastic waste.",Personal Care,20,4
EcoFloss,"Natural silk floss in a glass container, promoting a plastic-free dental routine.",Personal Care,4,5
ReFill Reusable Razor,"A reusable razor with a bamboo handle, designed to reduce disposable razor waste.",Personal Care,15,4
EcoBreeze Multi-Surface Cleaner,A biodegradable cleaner made from essential oils and plant-based ingredients.,Cleaning Products,22,5
GreenScrub Reusable Cloths,Set of reusable cleaning cloths made from organic cotton and hemp.,Cleaning Products,18,5
Natural Essence Floor Cleaner,"Non-toxic, plant-based floor cleaner that is safe for all surfaces.",Cleaning Products,25,5
EcoClean Disinfecting Wipes,"Compostable wipes made from bamboo fiber, with all-natural disinfecting agents.",Cleaning Products,35,4
Bamboo Scrub Brush,"A wooden scrub brush with durable, biodegradable bristles for sustainable cleaning.",Cleaning Products,8,5
GreenSpray Glass Cleaner,"A plant-based, chemical-free glass cleaner in a refillable glass bottle.",Cleaning Products,12,5
EcoWipe Paper Towels,"Recycled paper towels, offering a sustainable alternative to traditional rolls.",Cleaning Products,45,4
Natural Fiber Mop,A mop with a handle made from recycled materials and reusable natural fiber head.,Cleaning Products,30,5
ZeroWaste Soap Scum Remover,"An eco-friendly, all-purpose cleaner for bathrooms, free from harsh chemicals.",Cleaning Products,20,5
Compostable Trash Bags,Biodegradable trash bags made from plant-based materials to reduce plastic waste.,Cleaning Products,40,5
Recycled Paper Notebook,A notebook made from 100% recycled paper and eco-friendly ink.,Stationery,12,4
Plantable Pencils,Pencils made from recycled wood that can be planted after use to grow plants.,Stationery,8,5
EcoWrite Recycled Pens,Pens made from post-consumer plastic and refillable ink cartridges.,Stationery,5,5
GreenPaper Notepad,"Notepad made from bamboo pulp instead of wood, reducing deforestation.",Stationery,10,4
Sustainable Paper Clips,"Paper clips made from recycled metal, packaged in a biodegradable box.",Stationery,6,5
EcoBind File Folders,"File folders made from 100% recycled cardboard, ideal for eco-conscious offices.",Stationery,15,4
Bamboo Desk Organizer,"A sustainable, stylish organizer made from bamboo to declutter your workspace.",Stationery,20,4
Plant-Dye Markers,Markers with plant-based ink and biodegradable packaging.,Stationery,7,4
Recycled Craft Paper Rolls,Large rolls of recycled paper for crafting and wrapping purposes.,Stationery,18,5
EcoPost Post-It Notes,Recycled paper post-it notes with a soy-based adhesive.,Stationery,5,5
VeganLeaf Handbag,"A stylish, cruelty-free handbag made from recycled ocean plastics.",Fashion & Accessories,45,4
EcoTote Canvas Bag,Reusable shopping tote made from organic cotton with eco-friendly dyes.,Fashion & Accessories,25,5
Recycled Wool Sweater,"Cozy sweater made from 100% recycled wool, reducing textile waste.",Fashion & Accessories,35,5
Bamboo Sunglasses,Lightweight and sustainable bamboo sunglasses with polarized lenses.,Fashion & Accessories,15,4
EcoKnit Organic Socks,"Soft socks made from organic cotton and dyed with non-toxic, eco-friendly dyes.",Fashion & Accessories,12,4
Plastic-Free Flip-Flops,Flip-flops made from natural rubber with a minimalist design.,Fashion & Accessories,18,5
Upcycled Denim Jacket,"Jacket made from upcycled denim, reducing textile waste and promoting sustainable fashion.",Fashion & Accessories,50,5
VeganLeather Wallet,"Slim wallet made from plant-based vegan leather, cruelty-free and durable.",Fashion & Accessories,15,5
